"copula","marginal","rho","d","rep","coverage","ci"
"gaussian","gaussian",-0.75,1,1,0.865555555555556,FALSE
"gaussian","gaussian",-0.75,1,2,0.907333333333333,FALSE
"gaussian","gaussian",-0.75,1,3,0.891888888888889,FALSE
"gaussian","gaussian",-0.75,1,4,0.893666666666667,FALSE
"gaussian","gaussian",-0.75,1,5,0.861333333333333,FALSE
"gaussian","gaussian",-0.75,1,6,0.910777777777778,FALSE
"gaussian","gaussian",-0.75,1,7,0.883,FALSE
"gaussian","gaussian",-0.75,1,8,0.864111111111111,FALSE
"gaussian","gaussian",-0.75,1,9,0.904111111111111,FALSE
"gaussian","gaussian",-0.75,1,10,0.913333333333333,FALSE
"gaussian","gaussian",-0.75,1,11,0.903111111111111,FALSE
"gaussian","gaussian",-0.75,1,12,0.885666666666667,FALSE
"gaussian","gaussian",-0.75,1,13,0.911333333333333,FALSE
"gaussian","gaussian",-0.75,1,14,0.877,FALSE
"gaussian","gaussian",-0.75,1,15,0.924888888888889,FALSE
"gaussian","gaussian",-0.75,1,16,0.847777777777778,FALSE
"gaussian","gaussian",-0.75,1,17,0.901888888888889,FALSE
"gaussian","gaussian",-0.75,1,18,0.906222222222222,FALSE
"gaussian","gaussian",-0.75,1,19,0.866333333333333,FALSE
"gaussian","gaussian",-0.75,1,20,0.887888888888889,FALSE
"gaussian","gaussian",-0.75,1,21,0.904222222222222,FALSE
"gaussian","gaussian",-0.75,1,22,0.889,FALSE
"gaussian","gaussian",-0.75,1,23,0.860555555555556,FALSE
"gaussian","gaussian",-0.75,1,24,0.883333333333333,FALSE
"gaussian","gaussian",-0.75,1,25,0.885888888888889,FALSE
"gaussian","gaussian",-0.75,1,26,0.913444444444444,FALSE
"gaussian","gaussian",-0.75,1,27,0.887777777777778,FALSE
"gaussian","gaussian",-0.75,1,28,0.903888888888889,FALSE
"gaussian","gaussian",-0.75,1,29,0.902555555555556,FALSE
"gaussian","gaussian",-0.75,1,30,0.900444444444444,FALSE
"gaussian","gaussian",-0.75,1,31,0.903222222222222,FALSE
"gaussian","gaussian",-0.75,1,32,0.892444444444444,FALSE
"gaussian","gaussian",-0.75,1,33,0.892333333333333,FALSE
"gaussian","gaussian",-0.75,1,34,0.934222222222222,FALSE
"gaussian","gaussian",-0.75,1,35,0.897333333333333,FALSE
"gaussian","gaussian",-0.75,1,36,0.927555555555556,FALSE
"gaussian","gaussian",-0.75,1,37,0.856777777777778,FALSE
"gaussian","gaussian",-0.75,1,38,0.880777777777778,FALSE
"gaussian","gaussian",-0.75,1,39,0.857666666666667,FALSE
"gaussian","gaussian",-0.75,1,40,0.909111111111111,FALSE
"gaussian","gaussian",-0.75,1,41,0.862,FALSE
"gaussian","gaussian",-0.75,1,42,0.843777777777778,FALSE
"gaussian","gaussian",-0.75,1,43,0.88,FALSE
"gaussian","gaussian",-0.75,1,44,0.854,FALSE
