"","Coverage","Width","Method","Rho","d"
"1",0.88025,3.30226748496721,"D_rho","rho = 1",1
"2",0.91725,3.50451684205648,"D_rho","rho = 1",1
"3",0.883875,3.32018379847032,"D_rho","rho = 1",1
"4",0.849375,3.23508638965819,"D_rho","rho = 1",1
"5",0.86175,3.38455677814118,"D_rho","rho = 1",1
"6",0.9375,3.7517106753443,"D_rho","rho = 1",1
"7",0.821875,2.92109332923597,"D_rho","rho = 1",1
"8",0.89325,3.30875225943672,"D_rho","rho = 1",1
"9",0.83175,2.83449683715736,"D_rho","rho = 1",1
"10",0.921375,3.67491585202688,"D_rho","rho = 1",1
"11",0.915,2.58980765579074,"D_rho","rho = 1",1
"12",0.8135,3.00605650975452,"D_rho","rho = 1",1
"13",0.85125,3.0581070846958,"D_rho","rho = 1",1
"14",0.916375,3.89351300854108,"D_rho","rho = 1",1
"15",0.85925,3.15357912660931,"D_rho","rho = 1",1
"16",0.86825,3.33618726149782,"D_rho","rho = 1",1
"17",0.85175,2.91501875639142,"D_rho","rho = 1",1
"18",0.811125,2.74916117881928,"D_rho","rho = 1",1
"19",0.90576,2.58924965688229,"D_rho","rho = 1",1
"20",0.92875,3.79351166056755,"D_rho","rho = 1",1
"21",0.874375,3.17494844029538,"D_rho","rho = 1",1
"22",0.894,3.39911451797307,"D_rho","rho = 1",1
"23",0.910375,3.3710915885202,"D_rho","rho = 1",1
"24",0.866,3.09700887370456,"D_rho","rho = 1",1
"25",0.893125,3.32912601099339,"D_rho","rho = 1",1
"26",0.95025,3.77304345392959,"D_rho","rho = 1",1
"27",0.856375,3.01425046762589,"D_rho","rho = 1",1
"28",0.915625,3.60576831470118,"D_rho","rho = 1",1
"29",0.90475,3.59047493858822,"D_rho","rho = 1",1
"30",0.870375,3.10411497661045,"D_rho","rho = 1",1
"31",0.88225,3.2917266922945,"D_rho","rho = 1",1
"32",0.9295,3.58012828244442,"D_rho","rho = 1",1
"33",0.918,3.8278981689937,"D_rho","rho = 1",1
"34",0.9345,3.74017001537333,"D_rho","rho = 1",1
"35",0.87025,3.39532957891211,"D_rho","rho = 1",1
"36",0.873,2.93569194056069,"D_rho","rho = 1",1
"37",0.91075,3.45052030237688,"D_rho","rho = 1",1
"38",0.86425,3.13590499737768,"D_rho","rho = 1",1
"39",0.912625,3.59848044517107,"D_rho","rho = 1",1
"40",0.845125,3.27330499222503,"D_rho","rho = 1",1
"41",0.92,2.57220527041674,"D_rho","rho = 1",1
"42",0.933375,4.21025575540606,"D_rho","rho = 1",1
"43",0.823375,2.90254743692671,"D_rho","rho = 1",1
"44",0.80875,2.78184693876914,"D_rho","rho = 1",1
"45",0.929125,3.64767157556244,"D_rho","rho = 1",1
"46",0.88025,3.1768487913267,"D_rho","rho = 1",1
"47",0.939,2.8030907999029,"D_rho","rho = 1",1
"48",0.935375,3.8434926031622,"D_rho","rho = 1",1
"49",0.831125,2.94834660658004,"D_rho","rho = 1",1
"50",0.924,2.51793366674549,"D_rho","rho = 1",1
"51",0.9135,3.7290710316627,"D_rho_with_CI","rho = 1",1
"52",0.95275,4.06624935713859,"D_rho_with_CI","rho = 1",1
"53",0.93075,3.81721056971115,"D_rho_with_CI","rho = 1",1
"54",0.901875,3.7454743374465,"D_rho_with_CI","rho = 1",1
"55",0.910375,3.93337488428373,"D_rho_with_CI","rho = 1",1
"56",0.963375,4.28648949303086,"D_rho_with_CI","rho = 1",1
"57",0.89175,3.44223656039356,"D_rho_with_CI","rho = 1",1
"58",0.945125,4.03741054984822,"D_rho_with_CI","rho = 1",1
"59",0.878375,3.16666977260345,"D_rho_with_CI","rho = 1",1
"60",0.955375,4.10805527104244,"D_rho_with_CI","rho = 1",1
"61",0.8725,3.06068107188577,"D_rho_with_CI","rho = 1",1
"62",0.8845,3.58089440386362,"D_rho_with_CI","rho = 1",1
"63",0.9135,3.68228784172981,"D_rho_with_CI","rho = 1",1
"64",0.9495,4.41665388130724,"D_rho_with_CI","rho = 1",1
"65",0.9165,3.77794272917897,"D_rho_with_CI","rho = 1",1
"66",0.932,3.88304406303935,"D_rho_with_CI","rho = 1",1
"67",0.898625,3.4332613209803,"D_rho_with_CI","rho = 1",1
"68",0.89375,3.31810744376676,"D_rho_with_CI","rho = 1",1
"69",0.881875,3.17979734630888,"D_rho_with_CI","rho = 1",1
"70",0.952375,4.32541301585729,"D_rho_with_CI","rho = 1",1
"71",0.923125,3.74647544620179,"D_rho_with_CI","rho = 1",1
"72",0.926125,3.98380383102089,"D_rho_with_CI","rho = 1",1
"73",0.9425,3.85628551841738,"D_rho_with_CI","rho = 1",1
"74",0.9125,3.57638547282787,"D_rho_with_CI","rho = 1",1
"75",0.933,3.89691038552715,"D_rho_with_CI","rho = 1",1
"76",0.969625,4.36795129306327,"D_rho_with_CI","rho = 1",1
"77",0.907375,3.51657237964962,"D_rho_with_CI","rho = 1",1
"78",0.947625,4.17299205731227,"D_rho_with_CI","rho = 1",1
"79",0.920875,3.8576950562038,"D_rho_with_CI","rho = 1",1
"80",0.9255,3.6109587775101,"D_rho_with_CI","rho = 1",1
"81",0.935375,3.7967213468417,"D_rho_with_CI","rho = 1",1
"82",0.9535,4.20623378978474,"D_rho_with_CI","rho = 1",1
"83",0.94675,4.37108673320722,"D_rho_with_CI","rho = 1",1
"84",0.962375,4.35111015023933,"D_rho_with_CI","rho = 1",1
"85",0.92975,4.01296090658112,"D_rho_with_CI","rho = 1",1
"86",0.920625,3.6666393578519,"D_rho_with_CI","rho = 1",1
"87",0.939625,3.96591294983,"D_rho_with_CI","rho = 1",1
"88",0.917875,3.60199718295148,"D_rho_with_CI","rho = 1",1
"89",0.948625,4.19538399090765,"D_rho_with_CI","rho = 1",1
"90",0.914375,3.85411125389387,"D_rho_with_CI","rho = 1",1
"91",0.865,3.01823961618706,"D_rho_with_CI","rho = 1",1
"92",0.960625,4.77360172692699,"D_rho_with_CI","rho = 1",1
"93",0.90425,3.60733342315034,"D_rho_with_CI","rho = 1",1
"94",0.91225,3.67751719559501,"D_rho_with_CI","rho = 1",1
"95",0.9535,4.07563337260056,"D_rho_with_CI","rho = 1",1
"96",0.9205,3.61115029081102,"D_rho_with_CI","rho = 1",1
"97",0.899,3.46673466452163,"D_rho_with_CI","rho = 1",1
"98",0.95675,4.21352174526887,"D_rho_with_CI","rho = 1",1
"99",0.90775,3.5644011679535,"D_rho_with_CI","rho = 1",1
"100",0.88275,3.1572970755369,"D_rho_with_CI","rho = 1",1
"101",0.978125,4.77173463025614,"D_rho_0.25","rho = 1",1
"102",0.984,4.85188600729937,"D_rho_0.25","rho = 1",1
"103",0.9815,4.97130039302797,"D_rho_0.25","rho = 1",1
"104",0.970125,4.65061840330067,"D_rho_0.25","rho = 1",1
"105",0.968875,4.74376246618478,"D_rho_0.25","rho = 1",1
"106",0.98375,4.98155604453162,"D_rho_0.25","rho = 1",1
"107",0.9595,4.50477782236757,"D_rho_0.25","rho = 1",1
"108",0.982875,4.94757827115046,"D_rho_0.25","rho = 1",1
"109",0.947375,3.97726919148741,"D_rho_0.25","rho = 1",1
"110",0.97975,4.90755313220161,"D_rho_0.25","rho = 1",1
"111",0.956,4.22716305298395,"D_rho_0.25","rho = 1",1
"112",0.95825,4.50214864567597,"D_rho_0.25","rho = 1",1
"113",0.969375,4.64728852040748,"D_rho_0.25","rho = 1",1
"114",0.97825,5.10325962992717,"D_rho_0.25","rho = 1",1
"115",0.96025,4.44731096418988,"D_rho_0.25","rho = 1",1
"116",0.972375,4.83750542790244,"D_rho_0.25","rho = 1",1
"117",0.973,4.56488484907857,"D_rho_0.25","rho = 1",1
"118",0.955125,4.28172991251345,"D_rho_0.25","rho = 1",1
"119",0.954625,4.16137874090386,"D_rho_0.25","rho = 1",1
"120",0.97775,4.99841201701562,"D_rho_0.25","rho = 1",1
"121",0.97175,4.65982671766731,"D_rho_0.25","rho = 1",1
"122",0.967875,4.59193013114546,"D_rho_0.25","rho = 1",1
"123",0.981375,4.75689663689047,"D_rho_0.25","rho = 1",1
"124",0.96825,4.50578856322437,"D_rho_0.25","rho = 1",1
"125",0.971625,4.56255897028679,"D_rho_0.25","rho = 1",1
"126",0.98675,5.08788100750146,"D_rho_0.25","rho = 1",1
"127",0.970125,4.45873201110365,"D_rho_0.25","rho = 1",1
"128",0.97475,4.72756930126845,"D_rho_0.25","rho = 1",1
"129",0.98375,5.12523665086093,"D_rho_0.25","rho = 1",1
"130",0.9725,4.59931741214393,"D_rho_0.25","rho = 1",1
"131",0.959125,4.41450806657189,"D_rho_0.25","rho = 1",1
"132",0.98425,4.92685863106708,"D_rho_0.25","rho = 1",1
"133",0.981,5.11535006009397,"D_rho_0.25","rho = 1",1
"134",0.9825,4.96037345341212,"D_rho_0.25","rho = 1",1
"135",0.9725,4.98681915744169,"D_rho_0.25","rho = 1",1
"136",0.97175,4.41755396518223,"D_rho_0.25","rho = 1",1
"137",0.973375,4.7170842911127,"D_rho_0.25","rho = 1",1
"138",0.9665,4.45231697014257,"D_rho_0.25","rho = 1",1
"139",0.986875,5.04418019331093,"D_rho_0.25","rho = 1",1
"140",0.964375,4.59708358335321,"D_rho_0.25","rho = 1",1
"141",0.962875,4.2638204491545,"D_rho_0.25","rho = 1",1
"142",0.981125,5.39173742634815,"D_rho_0.25","rho = 1",1
"143",0.95275,4.25019204271824,"D_rho_0.25","rho = 1",1
"144",0.952375,4.2072048054482,"D_rho_0.25","rho = 1",1
"145",0.983,4.91220924209599,"D_rho_0.25","rho = 1",1
"146",0.96925,4.47372553371376,"D_rho_0.25","rho = 1",1
"147",0.965125,4.3605077166129,"D_rho_0.25","rho = 1",1
"148",0.983375,5.1514155837697,"D_rho_0.25","rho = 1",1
"149",0.964625,4.41585530447436,"D_rho_0.25","rho = 1",1
"150",0.95625,4.06798394329169,"D_rho_0.25","rho = 1",1
"151",0.98525,5.65564565881277,"Lei_inexact","rho = 1",1
"152",0.997625,6.56618373762201,"Lei_inexact","rho = 1",1
"153",0.9975,6.75166591682859,"Lei_inexact","rho = 1",1
"154",0.989375,6.23169171251452,"Lei_inexact","rho = 1",1
"155",0.9885,6.02683430765297,"Lei_inexact","rho = 1",1
"156",0.990875,6.3225707297966,"Lei_inexact","rho = 1",1
"157",0.97775,5.73946730811877,"Lei_inexact","rho = 1",1
"158",0.994875,6.61545866145319,"Lei_inexact","rho = 1",1
"159",0.994125,6.33642212257532,"Lei_inexact","rho = 1",1
"160",0.996375,6.83514540961769,"Lei_inexact","rho = 1",1
"161",0.99025,6.02349316432308,"Lei_inexact","rho = 1",1
"162",0.992125,6.1738678547887,"Lei_inexact","rho = 1",1
"163",0.992625,6.1631970617072,"Lei_inexact","rho = 1",1
"164",0.994875,6.59820610378512,"Lei_inexact","rho = 1",1
"165",0.988875,5.93415794856227,"Lei_inexact","rho = 1",1
"166",0.987375,5.98530356717893,"Lei_inexact","rho = 1",1
"167",0.989625,6.02312771517019,"Lei_inexact","rho = 1",1
"168",0.994375,6.47458451977883,"Lei_inexact","rho = 1",1
"169",0.975875,5.36310395620033,"Lei_inexact","rho = 1",1
"170",0.981375,5.75708705301954,"Lei_inexact","rho = 1",1
"171",0.987375,5.67436267542491,"Lei_inexact","rho = 1",1
"172",0.9785,5.80146538274122,"Lei_inexact","rho = 1",1
"173",0.995625,6.59453436863047,"Lei_inexact","rho = 1",1
"174",0.98775,5.92037997882933,"Lei_inexact","rho = 1",1
"175",0.990875,5.98178655072756,"Lei_inexact","rho = 1",1
"176",0.9915,5.862315951123,"Lei_inexact","rho = 1",1
"177",0.98825,5.97258635034025,"Lei_inexact","rho = 1",1
"178",0.989625,6.2228582426177,"Lei_inexact","rho = 1",1
"179",0.994125,6.53596836543826,"Lei_inexact","rho = 1",1
"180",0.996,6.41984225630101,"Lei_inexact","rho = 1",1
"181",0.994,6.32272002203779,"Lei_inexact","rho = 1",1
"182",0.9945,6.24932264499099,"Lei_inexact","rho = 1",1
"183",0.993,6.53393992198259,"Lei_inexact","rho = 1",1
"184",0.996875,6.78899299807947,"Lei_inexact","rho = 1",1
"185",0.9885,5.98907065791312,"Lei_inexact","rho = 1",1
"186",0.992625,6.29865638808743,"Lei_inexact","rho = 1",1
"187",0.992625,6.15301035649235,"Lei_inexact","rho = 1",1
"188",0.986875,6.03630437943939,"Lei_inexact","rho = 1",1
"189",0.987,6.04639476783524,"Lei_inexact","rho = 1",1
"190",0.989375,6.01032596189872,"Lei_inexact","rho = 1",1
"191",0.99525,6.38208318003526,"Lei_inexact","rho = 1",1
"192",0.994375,6.44780317287628,"Lei_inexact","rho = 1",1
"193",0.990625,6.12991688096834,"Lei_inexact","rho = 1",1
"194",0.9955,6.43909785590838,"Lei_inexact","rho = 1",1
"195",0.99775,6.96559267135103,"Lei_inexact","rho = 1",1
"196",0.991375,5.94772179901895,"Lei_inexact","rho = 1",1
"197",0.99075,5.92861693426199,"Lei_inexact","rho = 1",1
"198",0.993625,6.1495437947831,"Lei_inexact","rho = 1",1
"199",0.992625,6.28481378047569,"Lei_inexact","rho = 1",1
"200",0.9925,6.07275361103472,"Lei_inexact","rho = 1",1
"201",1,13.0191681972158,"Lei_exact","rho = 1",1
"202",1,14.4981969126257,"Lei_exact","rho = 1",1
"203",1,12.6850221023701,"Lei_exact","rho = 1",1
"204",1,15.0983594628824,"Lei_exact","rho = 1",1
"205",1,14.341461581238,"Lei_exact","rho = 1",1
"206",1,11.6827818156269,"Lei_exact","rho = 1",1
"207",1,12.4702748280404,"Lei_exact","rho = 1",1
"208",1,14.632488867431,"Lei_exact","rho = 1",1
"209",1,12.8201863253908,"Lei_exact","rho = 1",1
"210",1,12.686710517821,"Lei_exact","rho = 1",1
"211",1,13.8065154948701,"Lei_exact","rho = 1",1
"212",1,13.5903925230929,"Lei_exact","rho = 1",1
"213",1,12.7368483681698,"Lei_exact","rho = 1",1
"214",1,15.0984509540256,"Lei_exact","rho = 1",1
"215",1,13.635772369544,"Lei_exact","rho = 1",1
"216",1,12.89626615814,"Lei_exact","rho = 1",1
"217",1,13.6053554606181,"Lei_exact","rho = 1",1
"218",1,14.2696343280747,"Lei_exact","rho = 1",1
"219",1,12.926694762237,"Lei_exact","rho = 1",1
"220",1,13.8074886419531,"Lei_exact","rho = 1",1
"221",1,12.2758754701612,"Lei_exact","rho = 1",1
